Label	Perc_missing	QC_RSD
M1	1_3-Dimethylurate	11.4285714285714	32.2080049546201
M2	1_6-Anhydro-β-D-glucose	0.714285714285714	31.1780280084627
M3	1_7-Dimethylxanthine	5	34.990604957286
M4	1-Methylnicotinamide	8.57142857142857	12.8042008738419
M5	2-Aminoadipate	1.42857142857143	9.37266355735233
M6	2-Aminobutyrate	5	46.9771491831324
M7	2-Furoylglycine	2.85714285714286	5.04915562556207
M8	2-Hydroxyisobutyrate	0	5.13234006385694
M9	2-Hydroxyphenylacetate	19.2857142857143	28.6911645613367
M10	2-Oxoglutarate	7.85714285714286	33.0812128898048
M11	3-Aminoisobutyrate	5	15.4761649136304
M12	3-Hydroxy-3-methylglutarate	0	26.6049574201337
M13	3-Hydroxybutyrate	0	39.4658723205042
M14	3-Hydroxyisobutyrate	2.14285714285714	8.90571085341042
M15	3-Hydroxyisovalerate	0	4.20083681066561
M16	3-Hydroxymandelate	7.14285714285714	22.9616692812561
M17	3-Hydroxyphenylacetate	27.1428571428571	133.785710141369
M18	3-Indoxylsulfate	1.42857142857143	20.8591424951856
M19	4-Aminohippurate	8.57142857142857	42.3054378386488
M20	4-Hydroxy-3-methoxymandelate	5	37.7903572273481
M21	4-Hydroxyphenylacetate	31.4285714285714	65.4430982472097
M22	4-Hydroxyphenyllactate	20	75.4360266456627
M23	5-Aminolevulinate	0.714285714285714	31.6308969749285
M24	5-Hydroxytryptophan	10.7142857142857	23.6943866181705
M25	6-Hydroxynicotinate	0	18.1490341883149
M26	ATP	5.71428571428571	16.4201497510561
M27	Acetaminophen	12.1428571428571	69.1275670360284
M28	Acetate	15	32.8935137822913
M29	Acetoacetate	2.14285714285714	28.1823746470557
M30	Acetone	1.42857142857143	21.799647018438
M31	Adipate	0.714285714285714	10.475665966914
M32	Alanine	0	4.16327952324079
M33	Anserine	0	9.49971351958197
M34	Arginine	14.2857142857143	40.4390838793173
M35	Ascorbate	15	58.5581759925546
M36	Asparagine	9.28571428571429	7.35629680015826
M37	Azelate	0	10.5270026105767
M38	Betaine	3.57142857142857	41.7428902931159
M39	Butanone	0.714285714285714	28.1064007794431
M40	Caffeine	1.42857142857143	27.5316241565944
M41	Carnitine	15.7142857142857	42.851236577403
M42	Carnosine	3.57142857142857	22.5750262603876
M43	Chlorogenate	2.14285714285714	21.2109214496846
M44	Choline	2.85714285714286	45.6090726176984
M45	Citrate	0	6.2683318247799
M46	Creatine	5.71428571428571	52.3050673402329
M47	Creatine phosphate	10	45.902908463314
M48	Creatinine	0	3.23499494857128
M49	Dimethylamine	0	28.4779675784288
M50	Ethanol	1.42857142857143	18.8260788445098
M51	Ethanolamine	7.14285714285714	14.3585518548811
M52	Formate	0	20.1512314461829
M53	Fructose	0	20.870399909166
M54	Fumarate	20	57.4399241458704
M55	Gabapentin	3.57142857142857	55.4862446068036
M56	Galactarate	6.42857142857143	35.7982709328723
M57	Galactose	1.42857142857143	30.6829782382949
M58	Glucitol	0.714285714285714	22.0004502190827
M59	Gluconate	4.28571428571429	21.815830077093
M60	Glucose	7.85714285714286	48.149804388545
M61	Glucose-6-phosphate	0.714285714285714	20.8511531911625
M62	Glutamine	4.28571428571429	24.1965010962142
M63	Glycine	2.85714285714286	27.132677716133
M64	Glycolate	5.71428571428571	43.2919817443529
M65	Glycylproline	0	10.6115825535449
M66	Hippurate	0	2.43157137126769
M67	Histamine	3.57142857142857	34.2070099705288
M68	Histidine	2.85714285714286	16.1921649824113
M69	Homovanillate	2.85714285714286	30.3505147251174
M70	Hypoxanthine	1.42857142857143	54.4859789511647
M71	Ibuprofen	0	8.71508486022139
M72	Indole-3-acetate	5.71428571428571	63.6971455751263
M73	Indole-3-lactate	0	6.07329505645181
M74	Isoleucine	5	13.2804518023977
M75	Lactate	0	14.8833988150265
M76	Lactose	2.14285714285714	35.2410176720935
M77	Lactulose	3.57142857142857	21.3732186257067
M78	Leucine	13.5714285714286	91.4132114933324
M79	Lysine	29.2857142857143	45.2576986368463
M80	Malonate	0.714285714285714	29.7941452157111
M81	Maltose	0	23.6048428357526
M82	Mandelate	22.8571428571429	108.908488443952
M83	Mannitol	1.42857142857143	29.0965206471514
M84	Methanol	3.57142857142857	59.5910861087543
M85	Methionine	2.85714285714286	39.4843333751261
M86	Methylguanidine	0	22.8520886812641
M87	N_N-Dimethylglycine	0.714285714285714	36.7748303492941
M88	N-Acetylglutamine	0.714285714285714	5.65626339296861
M89	N-AcetylglutamineDerivative	0	4.06985188179461
M90	N-Acetylornithine	0	10.5427542371552
M91	N-Acetylserotonin	0.714285714285714	15.7041429053511
M92	N-Acetyltyrosine	16.4285714285714	43.4328311102451
M93	N-Methylhydantoin	0	17.2939233224719
M94	N-Phenylacetylglycine	0.714285714285714	51.4159709219071
M95	N-Phenylacetylphenylalanine	25.7142857142857	74.223054610704
M96	Nicotinate	14.2857142857143	23.3479823828536
M97	Nicotinic acid adenine dinucleotide	10.7142857142857	20.8480874817547
M98	O-Acetylcarnitine	2.14285714285714	58.0107280097199
M99	O-Phosphocholine	2.85714285714286	44.7604352093236
M100	Oxypurinol	8.57142857142857	41.1343527504293
M101	Pantothenate	1.42857142857143	6.64822149110939
M102	Phenylacetate	10	38.6313843375384
M103	Phenylalanine	4.28571428571429	39.7356509827306
M104	Proline	0.714285714285714	9.36435242100871
M105	Propylene glycol	2.85714285714286	8.15506388476593
M106	Pyridoxine	0.714285714285714	15.9320417767385
M107	Pyroglutamate	0	11.9378472875586
M108	Pyruvate	1.42857142857143	39.3163187873585
M109	Sarcosine	0.714285714285714	112.592434377198
M110	Serotonin	6.42857142857143	18.6256353495308
M111	Succinate	4.28571428571429	37.7964473009227
M112	Sucrose	0	21.4343246310405
M113	Taurine	22.1428571428571	61.6112230625932
M114	Threonine	0	29.2653822778545
M115	Trigonelline	2.14285714285714	2.97573692676797
M116	Trimethylamine	0.714285714285714	13.0219623560134
M117	Trimethylamine N-oxide	1.42857142857143	40.1746826436536
M118	Tropate	0.714285714285714	12.5968651960161
M119	Tryptophan	0	13.9818037974324
M120	Tyrosine	3.57142857142857	12.0011423977921
M121	Urocanate	19.2857142857143	40.4390113521432
M122	Valine	2.14285714285714	19.1464856672245
M123	Xanthine	5	32.031527129162
M124	Xylose	3.57142857142857	32.8239916206851
M125	cis-Aconitate	0	65.0633788090127
M126	trans-Aconitate	2.85714285714286	3.81350478775125
M127	u072	21.4285714285714	35.3699418252008
M128	u075	8.57142857142857	44.0696963819491
M129	u11	0	4.34862912988896
M130	u1125	7.14285714285714	5.35937655592283
M131	u122	0	30.8954752175726
M132	u122triplet	0	29.1847501328026
M133	u14	0	21.0529057491723
M134	u144	1.42857142857143	15.5364012150061
M135	u14doublet	0	26.4239750854944
M136	u185	22.8571428571429	6.83691727594862
M137	u217	2.85714285714286	5.00522096920462
M138	u233	0.714285714285714	4.73533373690427
M139	u361	10	47.939803075837
M140	u362	3.57142857142857	30.03372730968
M141	u380large	1.42857142857143	41.5719603680763
M142	u43	0.714285714285714	7.15116605857213
M143	u433	1.42857142857143	24.8261437338676
M144	u87	0	6.63548612638398
M145	uarm1	23.5714285714286	41.4069853903158
M146	uarm2	4.28571428571429	34.4581723258417
M147	β-Alanine	1.42857142857143	27.6235170751821
M148	π-Methylhistidine	1.42857142857143	16.5619208190305
M149	τ-Methylhistidine	0	8.3518014361243
